date,hour,prediction,real
42337.000,16.000,28.648,21.580
42337.000,17.000,29.852,21.840
42337.000,18.000,29.519,21.750
42337.000,19.000,29.060,21.380
42337.000,20.000,28.272,20.970
42337.000,21.000,28.162,20.760
42337.000,22.000,27.780,20.110
42337.000,23.000,26.777,19.460
42338.000,0.000,25.730,19.220
42338.000,1.000,25.367,17.870
42338.000,2.000,25.167,16.960
42338.000,3.000,24.988,19.580
42338.000,4.000,25.488,20.410
42338.000,5.000,27.582,21.270
42338.000,6.000,30.806,30.590
42338.000,7.000,33.263,34.450
42338.000,8.000,33.908,34.420
42338.000,9.000,33.113,23.810
42338.000,10.000,32.384,32.200
42338.000,11.000,31.999,33.900
42338.000,12.000,31.987,34.400
42338.000,13.000,32.226,34.000
42338.000,14.000,32.319,34.480
42338.000,15.000,32.312,55.080
42338.000,16.000,33.261,55.080
42338.000,17.000,34.648,55.030
42338.000,18.000,34.181,36.450
42338.000,19.000,32.936,28.160
42338.000,20.000,30.900,23.760
42338.000,21.000,29.776,23.430
42338.000,22.000,28.893,22.670
42338.000,23.000,27.844,20.870
42339.000,0.000,24.831,20.620
42339.000,1.000,23.902,19.300
42339.000,2.000,23.460,18.960
42339.000,3.000,23.247,19.250
42339.000,4.000,23.482,20.480
42339.000,5.000,25.533,28.130
42339.000,6.000,30.448,45.020
42339.000,7.000,36.484,51.340
42339.000,8.000,37.185,49.580
42339.000,9.000,36.599,34.480
42339.000,10.000,35.961,25.780
42339.000,11.000,35.114,39.930
42339.000,12.000,33.905,35.870
42339.000,13.000,33.427,35.830
42339.000,14.000,33.185,50.010
42339.000,15.000,33.250,51.340
42339.000,16.000,33.885,51.340
42339.000,17.000,34.906,48.190
42339.000,18.000,33.540,39.930
42339.000,19.000,31.550,28.530
42339.000,20.000,29.468,24.660
42339.000,21.000,28.617,23.730
42339.000,22.000,27.865,22.930
42339.000,23.000,27.061,22.240
42340.000,0.000,26.554,22.990
42340.000,1.000,25.907,22.520
42340.000,2.000,25.408,21.720
42340.000,3.000,25.076,21.790
42340.000,4.000,25.656,23.060
42340.000,5.000,28.175,28.520
42340.000,6.000,33.228,35.040
42340.000,7.000,37.118,51.350
42340.000,8.000,37.976,51.360
42340.000,9.000,37.069,49.590
42340.000,10.000,36.276,34.930
42340.000,11.000,35.241,51.340
42340.000,12.000,34.278,51.400
42340.000,13.000,33.624,51.390
42340.000,14.000,33.525,58.560
42340.000,15.000,33.578,60.080
42340.000,16.000,34.115,64.970
42340.000,17.000,34.955,64.910
42340.000,18.000,33.854,60.020
42340.000,19.000,32.162,46.360
42340.000,20.000,30.610,23.380
42340.000,21.000,29.872,23.090
42340.000,22.000,29.263,22.190
42340.000,23.000,28.064,21.220
42341.000,0.000,23.885,20.760
42341.000,1.000,22.223,20.320
